Target keyword,Target country,Title,Article status,Original publish date,URL,Original writer/translator,Category,Subcategory,Epic,Persona,Niche persona,Article type
maestria en trabajo social,MX,Maestría en Trabajo Social: Una guía,Published,2025-03-15,https://www.coursera.org/mx/articles/masters-in-social-work,Izea,Degrees,Degrees by Topic,Health Degrees,Advancer,Considering,Degree Overview
partes de un curriculum vitae,MX,Cómo destacar tus habilidades clave en las partes de un currículum vitae,Published,2025-05-11,https://www.coursera.org/mx/articles/resume-skills-section,Izea,Career Advice,Career Support,Resumes and Cover Letters,"Starter,Switcher",Applying,Job Resume
que es la acreditacion,MX,¿Qué es la acreditación? Guía de acreditación y alternativas,Published,2025-03-15,https://www.coursera.org/mx/articles/what-is-accreditation,Izea,Degrees,Degree Advice,Degree FAQ,"Starter,Switcher,Advancer",Considering,Long Explainer
que son las ciencias de la salud,MX,Guía de la licenciatura en ciencias de la salud,Published,2024-10-17,https://www.coursera.org/mx/articles/bachelor-of-health-science,Izea,Degrees,Degrees by Topic,Health Degrees,Starter,Considering,Degree Overview
tipos de licenciaturas,MX,Licenciatura en Ciencias: Qué es y cómo obtenerla,Published,2025-03-15,https://www.coursera.org/mx/articles/bs-degree,Izea,Degrees,Degrees by Level,Bachelor's,"Starter,Switcher",Considering,Degree Overview
titulo tecnico,MX,"¿Qué es un Técnico Superior Universitario (TSU)? Requisitos, costos y más",Published,2025-03-15,https://www.coursera.org/mx/articles/what-is-an-associate-degree-key-information-to-know,Izea,Degrees,Degrees by Level,Associate,Starter,Considering,Degree Overview
machine learning algorithms,IN,10 Machine Learning Algorithms to Know in 2025,Archived,2024-09-23,https://www.coursera.org/in/articles/machine-learning-algorithms,Izea,Data,"AI and Machine Learning,Data Science",Machine Learning Engineer,"Starter,Switcher","Considering,Current",Long Explainer
machine learning fairness,IN,What Is Machine Learning Fairness?,Published,2025-03-17,https://www.coursera.org/in/articles/machine-learning-fairness,Izea,Data,AI and Machine Learning,"Machine Learning Engineer,Data Scientist","Starter,Switcher",Considering,Long Explainer
data science podcasts,IN,17 Data Science Podcasts to Listen to in 2026,Published,2025-03-15,https://www.coursera.org/in/articles/data-science-podcasts,Izea,Data,Data Science,"Data Scientist,Data Analyst,Machine Learning Engineer","Starter,Switcher,Advancer","Considering,Current",Resources
what does ai stand for,IN,What Does AI Stand For?,Published,2025-03-15,https://www.coursera.org/in/articles/what-does-ai-stand-for,Izea,Data,"AI and Machine Learning,Data Science","Machine Learning Engineer,Data Scientist","Starter,Switcher",Considering,Long Explainer
brendan mckiernan [boulder ds],US,Meet the Statistics Teacher Who's Going Back to School for Data Science,Published,2024-10-10,https://www.coursera.org/articles/brendan-mckiernan,Amanda,Degrees,Data Science,Master's,Switcher,Considering,Learner Story
business analysis,US,What Is Business Analysis?,Redirected,2025-02-10,https://www.coursera.org/articles/business-analysis,Izea,Business,"Business Strategy,Data Analytics",Business Analyst,"Starter,Switcher",Considering,Career Overview
business forecasting,US,What Is Business Forecasting?,Published,2025-02-10,https://www.coursera.org/articles/business-forecasting,Izea,Business,"Business Strategy,Data Analytics",Business Analyst,"Starter,Switcher",Considering,Long Explainer
business intelligence reporting,US,What Is Business Intelligence Reporting?,Published,2024-04-03,https://www.coursera.org/articles/business-intelligence-reporting,Izea,Business,"Business Strategy,Data Analytics",Business Analyst,"Starter,Switcher",Considering,Long Explainer
business intelligence trends,US,Top Business Intelligence Trends in 2026,Published,2024-04-03,https://www.coursera.org/articles/business-intelligence-trends,Izea,Business,"Business Strategy,Data Analytics",Business Analyst,"Starter,Switcher",Considering,Long Explainer
business process improvement,US,What Is Business Process Improvement?,Published,2025-02-03,https://www.coursera.org/articles/business-process-improvement,Izea,Business,Business Strategy,Business Systems Analyst,"Starter,Switcher",Considering,Long Explainer
business process mapping,US,What Is Business Process Mapping and How Can It Help My Business?,Published,2024-02-27,https://www.coursera.org/articles/business-process-mapping,Izea,Business,Business Strategy,Business Systems Analyst,"Starter,Switcher",Considering,Long Explainer
competitive advantage,US,What Is Competitive Advantage and How to Find Your Strategic Edge,Published,2024-02-27,https://www.coursera.org/articles/competitive-advantage,Izea,Business,"Business Strategy,Marketing","Business Analyst,Digital Marketer,Marketing Analyst","Starter,Switcher",Considering,Long Explainer
cost analysis,US,What Is a Cost-Benefit Analysis? And How to Conduct One,Updates Assigned,2024-03-15,https://www.coursera.org/articles/cost-analysis,Izea,Business,Business Strategy,Business Analyst,"Starter,Switcher",Considering,Long Explainer
customer experience manager,US,What Does a Customer Experience Manager Do?,Published,2024-06-20,https://www.coursera.org/articles/customer-experience-manager,Izea,Business,"Business Strategy,Sales,Leadership and Management",Business Analyst,"Switcher,Advancer","Current,Considering",Career Overview
data aggregation,US,What Is Data Aggregation?,Published,2024-07-15,https://www.coursera.org/articles/data-aggregation,Izea,Business,"Business Strategy,Data Analytics","Business Analyst,Data Analyst","Starter,Switcher",Considering,Long Explainer
data driven decision making,US,What Is Data-Driven Decision-Making (DDDM)?,Published,2024-02-26,https://www.coursera.org/articles/data-driven-decision-making,Izea,Business,"Business Strategy,Data Analytics","Business Analyst,Data Analyst","Starter,Switcher",Considering,Long Explainer
data driven marketing,US,What Is Data-Driven Marketing,Published,2025-02-10,https://www.coursera.org/articles/data-driven-marketing,Izea,Business,Marketing,Digital Marketer,"Starter,Switcher",Considering,Long Explainer
data enrichment,US,"What Is Data Enrichment? Types, Uses, and More",Published,2024-02-26,https://www.coursera.org/articles/data-enrichment,Izea,Business,"Business Strategy,Data Analytics","Business Analyst,Data Analyst","Starter,Switcher",Considering,Long Explainer
data insights,US,How Data Insights Improve Business Decisions,Published,2024-04-03,https://www.coursera.org/articles/data-insights,Izea,Business,"Business Strategy,Data Analytics","Business Analyst,Data Analyst","Starter,Switcher",Considering,Long Explainer
data strategy,US,What Is a Data Strategy and Why Do You Need One?,Published,2024-04-02,https://www.coursera.org/articles/data-strategy,Izea,Business,"Business Strategy,Data Analytics","Business Analyst,Data Analyst","Starter,Switcher",Considering,Long Explainer
diagnostic analytics,US,What Is Diagnostic Analytics?,Published,2024-03-15,https://www.coursera.org/articles/diagnostic-analytics,Izea,Business,"Business Strategy,Data Analytics","Business Analyst,Data Analyst","Starter,Switcher",Considering,Long Explainer
hr analytics,US,What Is HR Analytics?,Redirected,2024-02-26,https://www.coursera.org/articles/hr-analytics,Izea,Business,"Business Strategy,Leadership and Management","Human Resources Specialist,Business Analyst","Starter,Switcher",Considering,Long Explainer
retail analytics,US,What Is Retail Analytics?,Published,2024-03-04,https://www.coursera.org/articles/retail-analytics,Izea,Business,"Business Strategy,Sales","Business Analyst,Sales Analyst","Starter,Switcher",Considering,Long Explainer
risk assessment,US,What Is Risk Assessment in Business Intelligence?,Updates Assigned,2024-03-14,https://www.coursera.org/articles/risk-assessment,Izea,Business,Business Strategy,Business Analyst,"Starter,Switcher",Considering,Long Explainer
sales analytics,US,What Is Sales Analytics and How Does It Benefit My Business?,Published,2024-03-04,https://www.coursera.org/articles/sales-analytics,Izea,Business,"Business Strategy,Data Analytics,Sales","Business Analyst,Sales Analyst","Starter,Switcher",Considering,Long Explainer
trend analysis,US,What Is Trend Analysis in Business? ,Published,2025-03-18,https://www.coursera.org/articles/trend-analysis,Izea,Business,"Business Strategy,Data Analytics","Business Analyst,Data Analyst","Starter,Switcher",Considering,Long Explainer
social media analytics,US,What Is Social Media Analytics?,Updates Assigned,2024-02-27,https://www.coursera.org/articles/social-media-analytics,Izea,Business,Marketing,"Social Media Marketer,Marketing Analyst","Starter,Switcher",Considering,Long Explainer
how to learn power bi,US,How to Learn Power BI: An Overview,Redirected,2024-05-28,https://www.coursera.org/articles/how-to-learn-power-bi,Izea,Business,"Business Strategy,Data Analytics","Business Analyst,Data Analyst",Starter,Considering,How to (General)
power bi alternatives,US,9 Power BI Alternatives,Published,2024-05-30,https://www.coursera.org/articles/power-bi-alternatives,Izea,Business,"Business Strategy,Data Analytics","Business Analyst,Data Analyst","Starter,Switcher","Considering,Applying",Career Options
power bi developer salary,US,Power BI Developer Salary,Published,2024-04-04,https://www.coursera.org/articles/power-bi-developer-salary,Izea,Business,"Business Strategy,Data Analytics","Business Analyst,Data Analyst","Starter,Switcher",Considering,Salary Guide
power bi jobs,US,9 Power BI Jobs: Positions That Rely on Data Visualization,Published,2024-05-30,https://www.coursera.org/articles/power-bi-jobs,Izea,Business,"Business Strategy,Data Analytics,Career Path Planning","Business Analyst,Data Analyst","Starter,Switcher",Considering,Career Options
power bi resume,US,How to Write a Power BI Resume,Published,2024-04-15,https://www.coursera.org/articles/power-bi-resume,Izea,Business,"Business Strategy,Data Analytics,Career Support","Business Analyst,Data Analyst,Resumes and Cover Letters","Starter,Switcher",Applying,Job Resume
video editing jobs,US,8 Video Editing Jobs and How To Get One,Published,2024-02-26,https://www.coursera.org/articles/video-editing-jobs,Izea,Business,Marketing,Digital Marketer,"Starter,Switcher",Considering,Career Options
video editing salary,US,Video Editing Salary Expectations,Published,2024-04-04,https://www.coursera.org/articles/video-editing-salary,Izea,Business,Marketing,Digital Marketer,"Starter,Switcher",Considering,Salary Guide
video editing skills,US,10 Video Editing Skills to Build your Video Editing Career,Published,2024-03-06,https://www.coursera.org/articles/video-editing-skills,Izea,Business,"Marketing,Skills",Digital Marketer,"Starter,Switcher",Considering,Skills
what is video editing,US,What Is Video Editing?,Published,2024-12-05,https://www.coursera.org/articles/what-is-video-editing,Izea,Business,Marketing,Digital Marketer,"Starter,Switcher",Considering,Long Explainer
business statistics,US,What Are Business Statistics?,Published,2024-04-02,https://www.coursera.org/articles/business-statistics,Izea,Business,"Business Strategy,Data Analytics","Business Analyst,Data Analyst","Starter,Switcher,Advancer",Considering,Long Explainer
how to get into tech sales,US,How to Get Into Tech Sales,Published,2024-04-05,https://www.coursera.org/articles/how-to-get-into-tech-sales,Izea,Business,Sales,"Sales Representative,Sales Development Representative,Sales Operations Specialist","Starter,Switcher",Considering,How to (Jobs)
analytical thinking,US,What Is Analytical Thinking and How Can You Improve It?,Published,2024-03-14,https://www.coursera.org/articles/analytical-thinking,Izea,Career Advice,"Skills,Data Analytics,Business Strategy","Job Skills,Data Analyst,Business Analyst","Starter,Switcher",Considering,Skills
career change resume,US,How to Write a Career Change Resume,Published,2024-02-26,https://www.coursera.org/articles/career-change-resume,Izea,Career Advice,"Career Path Planning,Career Support","Switching Careers,Resumes and Cover Letters","Starter,Switcher",Applying,Job Resume
moving without a job,US,Your 2026 Guide to Moving Without a Job,Published,2024-04-02,https://www.coursera.org/articles/moving-without-a-job,Izea,Career Advice,Career Support,Switching Careers,"Starter,Switcher",Considering,How to (General)
note taking methods,US,7 Effective Note-Taking Methods,Published,2024-03-04,https://www.coursera.org/articles/note-taking-methods,Izea,Career Advice,Skills,Job Skills,"Starter,Switcher",Considering,Skills
overqualified for a job,US,What to Do If You Are Overqualified for a Job,Published,2024-03-20,https://www.coursera.org/articles/overqualified-for-a-job,Izea,Career Advice,Career Path Planning,Career Advancement,"Starter,Advancer,Switcher","Current,Applying",Skills
devops job description,US,DevOps Job Descriptions: Who’s On a DevOps Team?,Published,2024-04-02,https://www.coursera.org/articles/devops-job-description,Izea,Computer Science and Engineering,Software Development,DevOps Engineer,"Starter,Switcher",Applying,Career Overview
devops skills,US,8 In-Demand DevOps Skills for Engineers,Published,2024-02-26,https://www.coursera.org/articles/devops-skills,Izea,Computer Science and Engineering,"Software Development,Skills","DevOps Engineer,Skills by Role","Starter,Switcher",Considering,Skills
java developer,US,What Does a Java Developer Do?,Published,2024-04-02,https://www.coursera.org/articles/java-developer,Izea,Computer Science and Engineering,"Software Development,Web and App Development",Software Engineer,"Starter,Switcher","Considering,Current",Career Overview
learning how to code,US,Learning How to Code: a Beginner's Guide,Published,2024-04-01,https://www.coursera.org/articles/learning-how-to-code,Izea,Computer Science and Engineering,"Software Development,Web and App Development","Software Engineer,Application Developer,Back-end Developer,Front-end Developer","Starter,Switcher",Considering,How to (General)
lua programming,US,What Is Lua Programming and What Is It Used For?,Published,2024-12-09,https://www.coursera.org/articles/lua-programming,Izea,Computer Science and Engineering,Software Development,"Software Engineer,Application Developer","Starter,Switcher",Considering,Long Explainer
data governance,US,What Is Data Governance?,Published,2024-04-03,https://www.coursera.org/articles/data-governance,Izea,Data,"Data Engineering,Data Analytics","Data Engineer,Data Analyst","Starter,Switcher",Considering,Long Explainer
random forest,US,What Is Random Forest?,Published,2024-04-05,https://www.coursera.org/articles/random-forest,Izea,Data,"Data Science,AI and Machine Learning","Data Scientist,Machine Learning Engineer","Starter,Switcher",Considering,Long Explainer
what is numpy,US,What Is NumPy?,Published,2024-04-17,https://www.coursera.org/articles/what-is-numpy,Izea,Data,Data Science,Data Scientist,"Starter,Switcher",Considering,Long Explainer
ab testing,US,What Is A/B Testing?,Published,2024-04-15,https://www.coursera.org/articles/ab-testing,Izea,Business,Marketing,"Business Analyst,Digital Marketer","Starter,Switcher",Considering,Long Explainer
clustering,US,What Is Clustering?,Published,2024-04-03,https://www.coursera.org/articles/clustering,Izea,Data,Data Science,"Data Scientist,Machine Learning Engineer","Starter,Switcher",Considering,Long Explainer
data exploration,US,"What Is Data Exploration? Definition, Types, Uses, and More",Updates Assigned,2024-03-18,https://www.coursera.org/articles/data-exploration,Izea,Data,Data Analytics,"Data Analyst,Data Scientist","Starter,Switcher",Considering,Long Explainer
data storytelling,US,"What Is Data Storytelling? Definition, Examples, and Tips",Updates Assigned,2024-03-20,https://www.coursera.org/articles/data-storytelling,Izea,Data,Data Analytics,"Data Analyst,Data Scientist","Starter,Switcher",Considering,Long Explainer
hierarchical clustering,US,What Is Hierarchical Clustering?,Updates Assigned,2024-04-09,https://www.coursera.org/articles/hierarchical-clustering,Izea,Data,Data Science,"Data Scientist,Data Analyst","Starter,Switcher",Considering,Long Explainer
k means clustering,US,What Is K-Means Clustering?,Published,2024-04-09,https://www.coursera.org/articles/k-means-clustering,Izea,Data,"Data Science,AI and Machine Learning","Data Scientist,Machine Learning Engineer","Starter,Switcher",Considering,Long Explainer
metadata management,US,What Is Metadata Management?,Published,2024-04-09,https://www.coursera.org/articles/metadata-management,Izea,Data,Data Engineering,Data Engineer,"Starter,Switcher,Advancer",Considering,Long Explainer
pattern recognition,US,What Is Pattern Recognition?,Published,2024-04-01,https://www.coursera.org/articles/pattern-recognition,Izea,Data,"Data Science,Data Analytics","Data Analyst,Data Scientist","Starter,Switcher",Considering,Long Explainer
statistical analysis methods,US,7 Statistical Analysis Methods Beginners Should Know,Published,2024-10-30,https://www.coursera.org/articles/statistical-analysis-methods,Izea,Data,Data Analytics,Data Analyst,"Starter,Switcher",Considering,Long Explainer
svm,US,What Are Support Vector Machine (SVM) Algorithms? ,Published,2025-01-30,https://www.coursera.org/articles/svm,Izea,Data,"Data Science,AI and Machine Learning","Data Scientist,Machine Learning Engineer","Starter,Switcher",Considering,Long Explainer
time series analysis,US,What Is Time Series Analysis?,Published,2024-12-05,https://www.coursera.org/articles/time-series-analysis,Izea,Data,"Data Science,Data Analytics","Data Analyst,Data Scientist","Starter,Switcher",Considering,Long Explainer
ai skills,IN,6 Highly Desirable AI Skills for 2026,Published,2025-06-14,https://www.coursera.org/in/articles/ai-skills,Izea,Data,"Data Science,AI and Machine Learning,Skills","Data Scientist,Machine Learning Engineer,Skills by Role","Starter,Switcher",Considering,Skills
btech vs bsc,IN,BTech vs. BSC (What’s the Difference?),Published,2025-02-20,https://www.coursera.org/in/articles/btec-vs-bsc,Izea,Degrees,Degrees by Level,Bachelor's,Starter,Considering,Comparison
can i pursue two degree at a time,IN,Can I Pursue Two Degrees at a Time?,Published,2024-11-08,https://www.coursera.org/in/articles/can-i-pursue-two-degree-at-a-time,Izea,Degrees,Degree Advice,"Degree FAQ,Degree Alternatives","Starter,Switcher,Advancer",Considering,Degree Overview
competitive exams after 12th,IN,8 Competitive Exams after 12th: A 2026 Guide,Published,2025-06-04,https://www.coursera.org/in/articles/competitive-exams-after-12th,Izea,Degrees,"Degree Advice,Degrees by Level","Bachelor's,Entrance Exams",Starter,Considering,Long Explainer
government jobs after 12th,IN,6 Popular Government Jobs After 12th: A 2026 Guide,Published,2025-03-15,https://www.coursera.org/in/articles/government-jobs-after-12th,Izea,Degrees,"Career Path Planning,Degrees by Level","Bachelor's,Choosing a Career",Starter,Considering,Career Options
high salary jobs in science stream,IN,9 High Salary Jobs in Science Stream,Published,2025-03-15,https://www.coursera.org/in/articles/high-salary-jobs-in-science-stream,Izea,Degrees,Career Path Planning,Choosing a Career,"Starter,Switcher",Considering,Career Options
how to prepare for jee mains,IN,How to Prepare for the JEE (Main),Requires Edits,2025-01-07,https://www.coursera.org/in/articles/how-to-prepare-for-jee-mains,Izea,Degrees,"Degree Advice,Degrees by Level",Entrance Exams,Starter,Considering,How to (General)
jobs for freshers,IN,10 Jobs for Freshers,Published,2025-01-07,https://www.coursera.org/in/articles/jobs-for-freshers,Izea,Degrees,"Career Path Planning,Degrees by Level",Bachelor's,Starter,"Considering,Current",Long Explainer
lateral entry in btech,IN,Lateral Entry in BTech,Published,2025-03-17,https://www.coursera.org/in/articles/lateral-entry-in-btech,Izea,Degrees,"Degree Advice,Degrees by Level","Choosing a Career,Bachelor's","Starter,Switcher",Considering,Career Overview
what is the difference between be and btech,IN,What Is the Difference Between BE and BTech?,Requires Spot Check,2025-03-17,https://www.coursera.org/in/articles/what-is-the-difference-between-be-and-btech,Izea,Degrees,"Degrees by Level,Engineering",Bachelor's,Starter,Considering,Comparison
ai video editing,US,What Is AI Video Editing?,Published,2024-03-21,https://www.coursera.org/articles/ai-video-editing,Izea,Business,"Marketing,AI and Machine Learning",Digital Marketer,"Starter,Switcher",Considering,Long Explainer
data structures interview questions,US,Data Structures Interview Questions,Published,2024-07-17,https://www.coursera.org/articles/data-structures-interview-questions,Izea,Data,"Data Science,Data Engineering","Data Scientist,Data Engineer,Interviews","Starter,Switcher,Advancer",Applying,Interview Questions
how to learn data structures and algorithms,US,How to Learn Data Structures and Algorithms: A Basic Guide,Published,2024-11-11,https://www.coursera.org/articles/how-to-learn-data-structures-and-algorithms,Izea,Data,"Data Science,AI and Machine Learning","Data Scientist,Machine Learning Engineer","Starter,Switcher","Considering,Current",How to (General)
how to use matlab,US,How to Use MATLAB: An Overview,Redirected,2024-04-05,https://www.coursera.org/articles/how-to-use-matlab,Izea,Data,"Data Science,Data Analytics","Data Scientist,Data Analyst","Starter,Switcher,Advancer",Considering,How to (General)
ide for r programming,US,What Is a Top IDE for R Programming?,Published,2024-12-09,https://www.coursera.org/articles/ide-for-r-programming,Izea,Data,"Data Science,Data Analytics","Data Scientist,Data Analyst","Starter,Switcher",Considering,Resources
prompt engineering examples,US,6 Prompt Engineering Examples,Published,2024-04-19,https://www.coursera.org/articles/prompt-engineering-examples,Izea,Career Advice,Skills,Job Skills,"Starter,Switcher","Current,Applying",Skills
prompt engineering salary,US,Prompt Engineering Salary: A 2026 Guide,Published,2024-10-30,https://www.coursera.org/articles/prompt-engineering-salary,Izea,Career Advice,Skills,Job Skills,"Starter,Switcher",Considering,Salary Guide
r programming jobs,US,R Programming Jobs and How to Get Started,Published,2024-04-04,https://www.coursera.org/articles/r-programming-jobs,Izea,Data,"Data Science,Data Analytics,Career Path Planning","Data Scientist,Data Analyst,Choosing a Career","Starter,Switcher",Considering,Career Options
sql resume,US,How to Write an SQL Resume,Published,2024-04-01,https://www.coursera.org/articles/sql-resume,Izea,Data,"Data Science,Data Analytics,Career Support","Data Scientist,Data Analyst,Resumes and Cover Letters","Starter,Switcher",Applying,Job Resume
sql skills,US,10 Jobs That Require SQL Skills and What You Need to Get Hired,Published,2024-04-04,https://www.coursera.org/articles/sql-skills,Izea,Data,"Data Science,Data Analytics,Skills","Data Scientist,Data Analyst,Skills by Role","Starter,Switcher",Considering,Skills
types of data structures,US,Types of Data Structures,Published,2024-04-22,https://www.coursera.org/articles/types-of-data-structures,Izea,Data,"Data Science,Data Analytics","Data Scientist,Data Analyst","Starter,Switcher",Considering,Long Explainer
what are data structures,US,What Are Data Structures? ,Redirected,2024-12-02,https://www.coursera.org/articles/what-are-data-structures,Izea,Data,"Data Science,Data Analytics","Data Scientist,Data Analyst","Starter,Switcher",Considering,Long Explainer
btec vs a level,GB,BTEC vs. A Level (Which Is Right For You?),Published,2025-06-04,https://www.coursera.org/gb/articles/btec-vs-a-level,Izea,Degrees,Degrees by Level,Bachelor's,Starter,Considering,Comparison
can i go to university with no a levels,GB,Can I Go to University with No A Levels?,Requires Spot Check,2025-03-15,https://www.coursera.org/gb/articles/can-i-go-to-university-with-no-a-levels,Izea,Degrees,"Degree Advice,Degrees by Level","Bachelor's,Entrance Exams",Starter,Considering,Do You Need a Degree
colleges that accept low gpa,US,US Colleges That Accept Low GPA from Potential Students,Published,2024-11-07,https://www.coursera.org/articles/colleges-that-accept-low-gpa,Izea,Degrees,"Degree Advice,Degrees by Level","Bachelor's,Degree FAQ","Starter,Switcher",Considering,Long Explainer
dealing with academic failure,US,Tips for Dealing with Academic Failure,Published,2024-10-04,https://www.coursera.org/articles/dealing-with-academic-failure,Izea,Degrees,Degree Advice,Success in College,"Starter,Switcher",Considering,How to (General)
degree classifications uk,GB,What Is a Degree Classification in the UK?,Published,2025-01-08,https://www.coursera.org/gb/articles/degree-classifications-uk,Izea,Degrees,"Degrees by Level,Degree Advice",Degree Alternatives,"Starter,Switcher,Advancer","Considering,Applying,Current",Degree Overview
e-learning,GB,What Is E-Learning?,Published,2024-05-06,https://www.coursera.org/gb/articles/e-learning,Izea,Degrees,Degree Advice,"Success in College,Degree FAQ","Starter,Switcher",Considering,Long Explainer
engineering courses without jee,IN,9 Engineering Courses Without JEE,Requires Spot Check,2025-03-15,https://www.coursera.org/in/articles/engineering-courses-without-jee,Izea,Degrees,"Degree Advice,Degrees by Level","Bachelor's,Entrance Exams",Starter,"Considering,Current",Long Explainer
entry requirements for university,GB,Entry Requirements for University in the UK,Published,2024-11-07,https://www.coursera.org/gb/articles/entry-requirements-for-university,Izea,Degrees,Degree Advice,"College Applications,Success in College","Starter,Switcher","Considering,Applying",Long Explainer
finish degree faster,GB,How Can I Finish a Degree Faster?,Published,2024-07-23,https://www.coursera.org/gb/articles/finish-degree-faster,Izea,Degrees,Degree Advice,Success in College,"Starter,Switcher,Advancer","Considering,Current",Long Explainer
gcse requirements for university,GB,What Are the GCSE Requirements for University?,Published,2024-11-07,https://www.coursera.org/gb/articles/gcse-requirements-for-university,Izea,Degrees,"Degree Advice,Degrees by Level",Bachelor's,"Starter,Switcher","Current,Considering",Long Explainer
how to apply to a university without gcse,GB,How to Apply to a University Without GCSEs,Requires Edits,2025-01-08,https://www.coursera.org/gb/articles/how-to-apply-to-a-university-without-gcse,Izea,Degrees,"Degree Advice,Degrees by Level",Bachelor's,Starter,Considering,How to (General)
how to get into uni with no a levels,GB,How to Get into Uni with No A Levels,Published,2025-05-10,https://www.coursera.org/gb/articles/how-to-get-into-uni-with-no-a-levels,Izea,Degrees,"Degree Advice,Degrees by Level",Bachelor's,"Starter,Switcher",Considering,How to (General)
how to improve gpa after graduation,US,How to Improve Your GPA after Graduation,Published,2024-10-15,https://www.coursera.org/articles/how-to-improve-gpa-after-graduation,Izea,Degrees,Degree Advice,Success in College,Starter,Considering,How to (General)
low gpa,US,How to Improve a Low GPA: Strategies and Study Habits,Redirected,2024-10-07,https://www.coursera.org/articles/low-gpa,Izea,Degrees,Degree Advice,Success in College,"Starter,Switcher",Considering,Degree Overview
low marks,GB,What to Do If You Get Low Marks at University,Requires Edits,2024-11-27,https://www.coursera.org/gb/articles/low-marks,Izea,Degrees,Degree Advice,Success in College,"Starter,Switcher",Considering,Degree Overview
masters degree with low gpa,US,Can I Get a Master's Degree with a Low GPA?,Published,2024-04-02,https://www.coursera.org/articles/masters-degree-with-low-gpa,Izea,Degrees,"Degree Advice,Degrees by Level","Master's,Degree Alternatives","Switcher,Advancer",Considering,Degree Overview
notarized transcript,US,What Is a Notarized Transcript and Why You Might Need One,Published,2024-10-17,https://www.coursera.org/articles/notarized-transcript,Izea,Degrees,Degree Advice,Success in College,"Starter,Switcher",Considering,Degree Overview
online degree completion programs,US,What Are Online Degree Completion Programs?,Published,2024-07-18,https://www.coursera.org/articles/online-degree-completion-programs,Izea,Degrees,"Degrees by Level,Degree Advice","Bachelor's,Degree Alternatives","Starter,Switcher,Advancer",Considering,Degree Overview
online degree programs usa,IN,10 Online Degree Programmes USA,Requires Spot Check,2025-03-17,https://www.coursera.org/in/articles/online-degree-programs-usa,Izea,Degrees,"Degrees by Level,Degree Advice","Bachelor's,Degree Alternatives","Starter,Switcher,Advancer",Considering,Degree Overview
online degree verification,IN,What Is Online Degree Verification?,Published,2024-04-17,https://www.coursera.org/in/articles/online-degree-verification,Izea,Degrees,Degree Advice,Degree FAQ,"Starter,Switcher,Advancer","Considering,Current",Degree Overview
online degree worth it,IN,Is an Online Degree Worth It?,Published,2024-05-29,https://www.coursera.org/in/articles/online-degree-worth-it,Izea,Degrees,Degree Advice,Degree FAQ,"Starter,Switcher,Advancer",Considering,Degree Overview
postsecondary degree meaning,GB,Postsecondary Education Options For 2026,Published,2024-11-07,https://www.coursera.org/gb/articles/postsecondary-degree-meaning,Izea,Degrees,"Degrees by Level,Degree Advice",Bachelor's,"Switcher,Advancer",Considering,Degree Overview
transcript evaluation,US,What Is a Transcript Evaluation?,Published,2024-07-18,https://www.coursera.org/articles/transcript-evaluation,Izea,Degrees,Degree Advice,"College Applications,Success in College","Starter,Switcher,Advancer","Considering,Applying,Current",Long Explainer
universities accepting low gre scores,US,,Requires Updates,,,Izea,Degrees,"Degree Advice,Degrees by Level",Bachelor's,"Starter,Switcher",Considering,Long Explainer
universities that do not require a levels,GB,10 Universities That Do Not Require A Levels,Published,2025-05-10,https://www.coursera.org/gb/articles/universities-that-do-not-require-a-levels,Izea,Degrees,"Degree Advice,Degrees by Level",Bachelor's,"Starter,Switcher",Considering,Long Explainer
universities that do not require gcses,GB,5 Universities That Do Not Require GCSEs,Requires Edits,2025-02-03,https://www.coursera.org/gb/articles/universities-that-do-not-require-gcses,Izea,Degrees,"Degree Advice,Degrees by Level",Bachelor's,"Starter,Switcher",Considering,Long Explainer
universities with low entry requirements,GB,7 Universities with Low Entry Requirements,Requires Edits,2024-12-05,https://www.coursera.org/gb/articles/universities-with-low-entry-requirements,Izea,Degrees,Degree Advice,Bachelor's,"Starter,Switcher",Considering,Long Explainer
what is a degree transcript,GB,What Is a Degree Transcript?,Published,2024-05-06,https://www.coursera.org/gb/articles/what-is-a-degree-transcript,Izea,Degrees,Degree Advice,"Degree FAQ,College Applications",Starter,Considering,Degree Overview
college transcripts,US,What Are College Transcripts?,Redirected,2024-08-14,https://www.coursera.org/articles/college-transcripts,Izea,Degrees,Degree Advice,"Degree FAQ,College Applications",Starter,Considering,Degree Overview
what is online education,GB,What Is Online Education?,Published,2024-07-24,https://www.coursera.org/gb/articles/what-is-online-education,Izea,Degrees,Degree Advice,Degree FAQ,"Starter,Switcher","Considering,Applying",Long Explainer
jobs after an IT degree,IN,10 High-Paying IT Jobs after an IT Degree,Published,2025-01-08,https://www.coursera.org/in/articles/jobs-after-an-it-degree,Izea,Degrees,"Career Path Planning,IT Support,Degrees by Topic","Choosing a Career,IT Degrees,IT Consultant,IT Support Specialist",Starter,Considering,Career Options
is online mba valid in india,IN,Is an Online MBA Valid in India?,Published,2024-11-08,https://www.coursera.org/in/articles/is-online-mba-valid-in-india,Izea,Degrees,Degrees by Level,Master's,"Starter,Switcher","Considering,Current",Long Explainer
